INSTITUTE NAME,PLACE,lat,lng,source
"HYDERABAD INST OF
TECHNOLOGY AND MGMT
(AUTONOMOUS)",MEDCHAL,17.406498,78.47724389999999,google
"HOLY MARY INSTITUTE OF TECH
SCIENCE (AUTONOMOUS)",KEESARA,17.4871116,78.702028,google
"INSTITUTE OF AERONAUTICAL
ENGINEERING",DUNDIGAL,18.1124372,79.01929969999999,google
"INDUR INSTITUTE OF
ENGINEERING AND TECHNOLOGY",SIDDIPET,18.1124372,79.01929969999999,google
"SRI INDU INSTITUTE OF
ENGINEERING AND TECHNOLOGY",IBRAHIMPATAN,17.210076,78.611913,google
"SRI INDU COLLEGE OF ENGG AND
TECHNOLOGY (AUTONOMOUS)",IBRAHIMPATAN,18.1124372,79.01929969999999,google
"JANGOAN INSTITUTE OF
PHARMACEUTICAL SCIS",JANGAON,17.6600471,79.29021329999999,google
"JAYAMUKHI INSTITUTE OF
TECHNOLOGY AND SCIS",NARSAMPET,17.8982044,79.8751836,google
"J B INSTITUTE OF ENGG AND
TECHNOLOGY (AUTONOMOUS)",YENKAPALLY,18.1124372,79.01929969999999,google
"JYOTHISHMATHI INSTITUTE OF
TECHNOLOGY AND SCI",KARIMNAGAR,18.349974,79.16037829999999,google
"JNTU COLLEGE OF ENGINEERING
JAGITIAL",JAGITIAL,18.6439486,79.5474794,google
"JNAFAU SCHOOL OF PLANNING
AND ARCH - SELF FINANCE",MASABTANK,17.4031798,78.455983,google
"JNTU COLLEGE OF ENGG
HYDERABAD",HYDERABAD,17.4068029,78.5185352,google
"JNTUH-5 YEAR INTEGRATED
MTECH SELF FINANCE",KUKATPALLY,18.1124372,79.01929969999999,google
"JNTUH COLLEGE OF ENGG
MANTHANI",MANTHANI,18.6507035,79.6681065,google
"JNTU COLLEGE OF ENGINEERING
RAJANNA SIRCILLA",AGRAHARAM\r\nRAJANNA SIRCILLA,18.4297451,78.8337872,google
"J N T U COLLEGE OF ENGINEERING
SULTANPUR",SULTANPUR,17.7232417,78.0945122,google
"JOGINPALLY B R ENGINEERING
COLLEGE",YENKAPALLY,17.331312,78.2985286,google
"JAYA PRAKASH NARAYAN
COLLEGE OF ENGINEERING",MAHABUBNAGAR,16.6989138,77.9405422,google
"KSHATRIYA COLLEGE OF
ENGINEERING",ARMOOR,18.7895325,78.3283318,google
"KODADA INST OF TECHNOLOGY
AND SCIENCE FOR WOMEN",KODADA,16.9947467,79.9750257,google
"KG REDDY COLLEGE OF ENGG AND
TECHNOLOGY (AUTONOMOUS)",MOINABAD,17.3355063,78.2893036,google
"KAKATIYA INSTITUTE OF
TECHNOLOGY AND SCI",WARANGAL,18.1124372,79.01929969999999,google
"KAKATIYA INST OF TECHNOLOGY
SCI FOR WOMEN",NIZAMABAD,18.1124372,79.01929969999999,google
"KLRCOLLEGE OF ENGG AND
TECHNOLOGY PALONCHA",PALONCHA,17.5972083,80.7302078,google
"KESHAV MEMORIAL
ENGINEERING COLLEGE",KACHWANISINGARA\r\nM,17.396838,78.6227339,google
