INST CODE,INSTITUTE NAME,PLACE,DIST,COED,COLLEGE TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
MTEC,"MOTHER THERESA COLLEGE OF
ENGG AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,1999,CSE,"COMPUTER SCIENCE AND
ENGINEERING",63508.0,65051,110460.0,110460,97207.0,103508,63508.0,65051,110350.0,110350,98372.0,98372,118135.0,118135,112243.0,112243,63508.0,110837,61000,JNTUH
MTEC,"MOTHER THERESA COLLEGE OF
ENGG AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,1999,CSI,"COMPUTER SCIENCE AND
INFORMATION TECHNOLOGY",65264.0,65264,104503.0,120826,118844.0,118844,65264.0,65264,121078.0,121083,119192.0,119192,120462.0,121446,110573.0,116841,65264.0,65264,61000,JNTUH
MTEC,"MOTHER THERESA COLLEGE OF
ENGG AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,1999,CSM,"COMPUTER SCIENCE AND
ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE
LEARNING)",67686.0,99665,85216.0,104270,107359.0,110883,97775.0,99665,67686.0,99665,102550.0,102550,92520.0,107074,103628.0,103628,84811.0,99665,61000,JNTUH
MTEC,"MOTHER THERESA COLLEGE OF
ENGG AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,1999,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",73171.0,73171,73171.0,73171,73171.0,73171,73171.0,73171,100385.0,100385,73171.0,107448,118170.0,119936,98747.0,117774,73171.0,73171,61000,JNTUH
MTEC,"MOTHER THERESA COLLEGE OF
ENGG AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,1999,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",84665.0,84665,84665.0,84665,96903.0,96903,84665.0,89983,84665.0,84665,84665.0,84665,114384.0,114384,113139.0,113139,84665.0,84665,61000,JNTUH
MTEC,"MOTHER THERESA COLLEGE OF
ENGG AND TECHNOLOGY",PEDDAPALLY,PDL,COED,PVT,1999,MEC,MECHANICAL ENGINEERING,91875.0,91875,91875.0,91875,91875.0,103069,91875.0,91875,91875.0,91875,91875.0,91875,91875.0,91875,91875.0,91875,91875.0,91875,61000,JNTUH
MVSR,"M V S R ENGINEERING COLLEGE
(AUTONOMOUS)",NADERGUL,RR,COED,PVT,1981,AUT,AUTOMOBILE ENGINEERING,120047.0,120047,120047.0,120047,120047.0,120047,120047.0,120047,120047.0,120047,120047.0,120047,120047.0,120047,120047.0,120047,120047.0,120047,125000,OU
MVSR,"M V S R ENGINEERING COLLEGE
(AUTONOMOUS)",NADERGUL,RR,COED,PVT,1981,CIV,CIVIL ENGINEERING,33328.0,33328,90322.0,116115,74763.0,118011,75788.0,75788,93323.0,105984,93094.0,99281,116199.0,118893,72677.0,111707,37298.0,106415,125000,OU
MVSR,"M V S R ENGINEERING COLLEGE
(AUTONOMOUS)",NADERGUL,RR,COED,PVT,1981,CSE,"COMPUTER SCIENCE AND
ENGINEERING",4924.0,7930,21589.0,23211,11707.0,12843,4924.0,37898,10510.0,10510,16268.0,28566,22302.0,22302,10824.0,26408,8330.0,8653,125000,OU
MVSR,"M V S R ENGINEERING COLLEGE
(AUTONOMOUS)",NADERGUL,RR,COED,PVT,1981,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",17794.0,18011,39085.0,65875,34067.0,34105,18255.0,18255,28406.0,30046,54024.0,54024,69027.0,73195,37868.0,37997,20308.0,20308,125000,OU
MVSR,"M V S R ENGINEERING COLLEGE
(AUTONOMOUS)",NADERGUL,RR,COED,PVT,1981,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",12782.0,20113,112767.0,113378,103597.0,104456,50121.0,50121,110371.0,111693,70726.0,113788,99585.0,120379,70537.0,101417,80412.0,80745,125000,OU
