Inst Code,INSTITUTE NAME,Place,Dist Code,COED,COLLEGE TYPE,YEAR OF ESTB,BRANCH CODE,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,CSE,COMPUTER SCIENCE AND ENGINEERING,29992.0,29992.0,103834.0,103834.0,59947.0,60553.0,29992.0,83767.0,60701.0,60701.0,103833.0,103833.0,111734.0,111734.0,70477.0,103489.0,53223.0,53223.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),29175.0,29175.0,117068.0,123139.0,64993.0,71968.0,29175.0,29175.0,68158.0,82570.0,88515.0,161711.0,148559.0,148559.0,128282.0,168832.0,52200.0,52200.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,35712.0,45133.0,144723.0,144723.0,100079.0,100079.0,35712.0,45133.0,80161.0,94922.0,157375.0,157375.0,169693.0,170317.0,162226.0,174032.0,67995.0,67995.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,79810.0,103784.0,145494.0,157902.0,128544.0,158559.0,79810.0,103784.0,121320.0,134360.0,79810.0,103784.0,173329.0,173329.0,170070.0,175076.0,105276.0,126017.0,60000.0,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010.0,MEC,MECHANICAL ENGINEERING,39600.0,39600.0,128731.0,164419.0,163547.0,163547.0,124248.0,124248.0,123531.0,160573.0,163871.0,163871.0,167756.0,179025.0,166439.0,166439.0,39600.0,136049.0,60000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CIV,CIVIL ENGINEERING,80955.0,99055.0,135353.0,162197.0,119589.0,119589.0,80955.0,99055.0,94917.0,105672.0,143713.0,144598.0,169175.0,174914.0,168218.0,173472.0,111926.0,111926.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),32457.0,32457.0,70795.0,70795.0,51541.0,52452.0,148223.0,148223.0,50083.0,50083.0,80780.0,80780.0,99227.0,107709.0,125744.0,148167.0,35697.0,37441.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSE,COMPUTER SCIENCE AND ENGINEERING,27584.0,27965.0,61518.0,61518.0,44617.0,47542.0,89745.0,129991.0,42607.0,42607.0,77242.0,85471.0,86995.0,94719.0,103384.0,122308.0,32524.0,32524.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),29862.0,29862.0,63685.0,63685.0,45445.0,50046.0,29862.0,105104.0,44625.0,44625.0,87888.0,89407.0,90148.0,96823.0,112785.0,135130.0,34646.0,35282.0,110000.0,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007.0,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),37715.0,37715.0,87845.0,97603.0,66519.0,66519.0,37715.0,37715.0,56152.0,57720.0,87173.0,126471.0,120199.0,120451.0,147546.0,169584.0,42732.0,42732.0,110000.0,JNTUH
